,Property,Beds,Showers,Garages,Area,Description,Price,Currency,Rent_Period,Url,Address,Time_Posted
73,"4 bedroom house for rent at East Legon, Ghana",3,4,,,Anaadumba Real Estate presents this 3 bedrooms Townhouse wit...,"2,500",$, month,"4 bedroom house for rent at East Legon, Ghana",,3 weeks
74,"3 bedroom townhouse for rent at Cantonments, Ghana",2,2,,,Beautiful Spacious 2bedrooms Apartment for rent at Prampram ...,450,GH₵, month,"3 bedroom townhouse for rent at Cantonments, Ghana",,3 weeks
75,"2 bedroom apartment for rent at Prampram, Ghana",2,1,,,"Office for rent at Ahaji, adjacent Florensa hotel. It is spa...",500,GH₵, month,"2 bedroom apartment for rent at Prampram, Ghana",,3 weeks
76,"Office for rent at Alhaji Station, Ghana",3,3,,,Affordable 3 bedroom semi-furnished apartment  for rent at E...,900,$, month,"Office for rent at Alhaji Station, Ghana",,3 weeks
77,"3 bedroom apartment for rent at East Legon, Ghana",5,6,,,This beautiful 5 bedroom house with all rooms en-suite is up...,"1,500",$, month,"3 bedroom apartment for rent at East Legon, Ghana",,1 month
78,"5 bedroom house for rent at Community 22, Ghana",3,3,,,3bedrooms house for for rent in east Legon adjiringanor abil...,700,$, month,"5 bedroom house for rent at Community 22, Ghana",,1 month
79,"3 bedroom house for rent at East Legon , Ghana",3,3,,,,"2,400",$, month,"3 bedroom house for rent at East Legon , Ghana",,1 month
80,"3 bedroom furnished apartment for rent at Osu, Ghana",2,2,,,Option Realtors present you this lovely 2 bedroom apartment ...,"3,400",$, month,"3 bedroom furnished apartment for rent at Osu, Ghana",,1 month
81,"2 bedroom furnished apartment for rent at Cantonments, Ghana",6,5,,,Executive 5/6 Bedroom House At East Legon Hills-nana Junctio...,"4,200",GH₵, month,"2 bedroom furnished apartment for rent at Cantonments, Ghana",,1 month
82,"6 bedroom house for rent at East Legon Hills, Ghana",3,4,,,The apartment building also has 24-hour onsite facility mana...,"4,800",$, month,"6 bedroom house for rent at East Legon Hills, Ghana",,1 month
83,"3 bedroom furnished apartment for rent at Airport Residential Area, Ghana",4,4,,,Only 5 minutes drive from the Accra Mall. The development of...,"2,500",$, month,"3 bedroom furnished apartment for rent at Airport Residential Area, Ghana",,1 month
84,"4 bedroom furnished townhouse for rent at East Legon, Ghana",2,3,,,"Situated in the heart of Cantonments, the gracefully designe...","3,300",$, month,"4 bedroom furnished townhouse for rent at East Legon, Ghana",,> 3 months
85,"2 bedroom furnished apartment for rent at Cantonments, Ghana",1,1,,,Elegance and simplicity are expressed in our one-bedroom apa...,"2,300",$, month,"2 bedroom furnished apartment for rent at Cantonments, Ghana",,> 3 months
86,"1 bedroom furnished apartment for rent at Cantonments, Ghana",4,4,,,"A unique home built, to give residents comfort and style. Th...","22,000",GH₵, month,"1 bedroom furnished apartment for rent at Cantonments, Ghana",,Today
87,"4 bedroom townhouse for rent at Cantonments, Ghana",5,5,,,"Situated in Ridge, one of Accra’s most sought after resident...","27,500",GH₵, month,"4 bedroom townhouse for rent at Cantonments, Ghana",,Today
88,"5 bedroom townhouse for rent at RIDGE, Ghana",2,2,,,Coldwell Banker Commercial Ghana presents this furnished 2 b...,"2,500",$, month,"5 bedroom townhouse for rent at RIDGE, Ghana",,Today
89,"2 bedroom furnished apartment for rent at Cantonments, Ghana",2,2,,,Your private 2 bedroom sanctuary - this unfurnished apartmen...,"1,800",$, month,"2 bedroom furnished apartment for rent at Cantonments, Ghana",,Today
90,"2 bedroom apartment for rent at Cantonments, Ghana",4,5,,,"New listing???? TO LET!  

Simply must be on your viewing li...","4,500",$, month,"2 bedroom apartment for rent at Cantonments, Ghana",,Today
91,"4 bedroom house for rent at Trasacco, Ghana",2,2,,,These amazing 2 bedroom 2 bathrooms fully furnished apartmen...,800,$, month,"4 bedroom house for rent at Trasacco, Ghana",,Today
92,"2 bedroom furnished apartment for rent at Osu, Ghana",5,5,,,Contact agent for more details and viewing of the property....,"4,000",GH₵, month,"2 bedroom furnished apartment for rent at Osu, Ghana",,Today
93,"5 bedroom house for rent at East Legon Hills, Ghana",3,2,,,"3 and 2 bedroom apartments for rent. Spacious compound, secu...","1,000",$, month,"5 bedroom house for rent at East Legon Hills, Ghana",,Today
94,"3 bedroom apartment for rent at East Legon, Ghana",5,4,,,,"2,500",$, month,"3 bedroom apartment for rent at East Legon, Ghana",,Today
95,"5 bedroom house for rent at Adjiringanor, Ghana",1,1,,,Exquisite modern one(1) bedroom furnished apartment availabl...,"1,250",$, month,"5 bedroom house for rent at Adjiringanor, Ghana",,Today
96,"1 bedroom furnished apartment for rent at Labone, Ghana",3,4,,,Suitably located in the prestigious Airport Residential Area...,"3,500",$, month,"1 bedroom furnished apartment for rent at Labone, Ghana",,Today
97,"3 bedroom apartment for rent at Airport Residential Area, Ghana",3,4,,,Suitably located in the prestigious Airport Residential Area...,"3,000",$, month,"3 bedroom apartment for rent at Airport Residential Area, Ghana",,Today
98,"3 bedroom apartment for rent at Airport Residential Area, Ghana",4,5,,,Four (4) bedroom house with a single room outer house with t...,"1,800",$, month,"3 bedroom apartment for rent at Airport Residential Area, Ghana",,Today
99,"4 bedroom house for rent at Dovehill Estate, Spintex Road, Ghana",2,2,,,2 bedroom Luxury apartment at the Mirage Residence ...,"3,500",$, month,"4 bedroom house for rent at Dovehill Estate, Spintex Road, Ghana",,Today
100,"2 bedroom apartment for rent at Airport Residential Area, Ghana",2,2,,,Furnished 2 bedroom apartment in a newly completed gated apa...,"1,800",$, month,"2 bedroom apartment for rent at Airport Residential Area, Ghana",,Today
101,"2 bedroom furnished apartment for rent at  Osu, Ghana",4,6,,,,"1,000",$, month,"2 bedroom furnished apartment for rent at  Osu, Ghana",,Today
102,"4 bedroom furnished house for rent at Trasacco East-Legon, Ghana",,,,,,,,,"4 bedroom furnished house for rent at Trasacco East-Legon, Ghana",,
103, ,,,,,,,,, ,,
